sampling,invalid_value,missing_value,floating_point,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
3,1,5,2,4,2,5,5,1,1,1,2,1,0.21093030396070003,0.2090881178999079,0.18852,1.87812,0.04276268383315501,3.3022774327122155,56.25,0.31,287.86,0.3,489.56,0.22,280.79,0.4,498.76,0.37,20.03,0.17,92.8,0.35,57.02,0.09,93.76,0.29,2366.34,0.3,478.4,0.08,98.92,0.22,0.15337394487616338,,,,
4,4,3,2,5,2,4,4,1,2,2,1,1,0.21785648404353442,0.21518170079321158,0.18881,0.9956,0.04720985033993055,3.8206686930091185,213.31,0.3,730.37,0.28,1397.28,0.25,665.74,0.51,1446.22,0.71,81.38,0.16,342.75,1.0,75.28,0.1,10151.32,0.48,20518.94,0.39,3629.15,0.28,35537.86,0.07,42869.34,0.04,15939.03,0.28,0.1691518242494808
4,1,4,4,5,2,2,7,2,2,1,2,1,0.2468179302711677,0.2494927135214905,0.19844,0.95108,0.04958418809824626,3.8059071729957807,332.33,0.3,1282.54,0.29,1386.2,0.21,1172.87,0.51,2397.26,0.71,129.41,0.16,610.86,1.0,101.38,0.09,330.06,0.42,361.94,0.29,378.31,0.08,354.25,0.26,0.18761371021318538,,,,
4,4,3,4,1,1,4,4,2,1,2,2,1,0.1728463383139642,0.17192399926212876,0.19761,0.99806,0.04941109374672233,3.889944576405384,1574.79,0.44,196.74,0.3,251.86,0.29,708.28,0.27,6004.96,0.27,1372.37,0.25,639.19,0.51,1418.26,0.71,78.16,0.16,369.42,1.0,1418.84,0.05,1149.72,0.04,212.84,0.26,75.88,0.09,0.15983634192854562
3,2,3,2,3,2,2,4,1,1,2,2,1,0.2121584280012281,0.21369358305188824,0.18455,1.95115,0.04136716653867287,3.121535181236674,48.62,0.3,256.24,0.28,433.67,0.21,259.77,0.4,448.45,0.36,19.73,0.15,79.27,0.34,47.15,0.09,106.48,0.53,106.32,0.36,100.38,0.28,101.9,0.08,99.46,0.04,88.11,0.28,0.18851975295368478
2,4,6,1,2,1,1,3,1,2,1,2,1,0.24774774774774774,0.24774774774774774,0.14622,1.78403,0.03366925015684838,4.322896281800391,109316.03,0.49,88.83,0.0,18395.59,0.41,260.23,0.0,33756.19,0.26,496.55,0.0,243.45,0.0,508.07,0.0,15.77,0.0,86.78,0.0,628.98,1.0,628.98,1.0,628.98,0.22,39.8,0.0,0.09503608820425731
1,1,7,4,4,1,1,4,1,2,1,1,1,0.21178060315705424,0.21178060315705424,0.19183,2.03263,0.04240219218766062,3.2133333333333334,2766.1,0.3,347.26,0.0,2766.1,0.31,1174.63,0.0,218416.58,0.28,1948.35,0.0,1129.43,0.0,2001.05,0.0,120.17,0.0,424.9,0.0,564.51,0.09,1385.8,0.15,1386.31,0.26,123.69,0.0,0.10468899244026615
4,1,1,2,3,2,5,8,1,2,2,1,1,0.24126512902489153,0.24274948618406028,0.18407,0.95397,0.0459979764442648,3.8237100737100738,268.92,0.3,954.01,0.28,1790.51,0.26,904.73,0.51,1833.37,0.7,125.9,0.16,403.44,1.0,89.07,0.08,0.19,0.37,14937.99,0.28,904.76,0.07,148.48,0.28,0.1556772648646109,,,,
4,1,6,4,2,1,3,8,1,2,1,1,1,0.2726434237225604,0.27448810182623135,0.19091,0.9907,0.04773292322290411,3.829103214890017,366.94,0.38,277.34,0.31,366.94,0.41,1035.36,0.28,197.65,0.28,1884.39,0.26,938.32,0.52,1939.49,0.71,110.93,0.15,473.97,1.0,1047.62,0.08,68.81,0.13,1271.22,0.25,86.7,0.09,0.10134743774350245
3,4,6,1,1,1,3,5,1,2,1,2,1,0.20171937365673934,0.20171937365673934,0.18048,1.9304,0.04058774489370574,3.347826086956522,41.97,0.53,67.0,0.32,236.06,0.28,302.16,0.29,212.34,0.29,535.42,0.21,300.34,0.41,544.96,0.36,26.05,0.15,98.21,0.34,103.35,0.07,343.34,0.13,303.31,0.21,59.57,0.09,-0.050010078473076536
4,3,1,4,1,2,1,5,1,1,2,2,1,0.21226307376113268,0.21226307376113268,0.19236,0.97278,0.04808713526087868,3.7855844942459114,247.55,0.0,951.48,0.0,1826.61,0.0,864.86,0.0,1870.68,0.0,101.54,0.0,440.93,0.0,84.8,0.0,872.8,0.28,119392.27,0.28,134.52,0.07,1037.77,0.26,0.08297738709569917,,,,
1,4,3,2,2,1,1,4,1,1,1,2,1,0.2085866961488852,0.2085866961488852,0.20587,2.04163,0.04543748544855818,3.185,382564.86,0.45,361.33,0.0,47244.01,0.42,1126.48,0.0,87836.8,0.29,1954.49,0.0,1119.55,0.0,1999.19,0.0,102.37,0.0,472.42,0.0,1662.15,0.07,2511.12,0.04,98.9,0.27,108.79,0.0,0.17553314666384418
4,2,3,4,4,2,5,7,2,1,1,1,1,0.18686589190186312,0.18483674598782512,0.19301,0.98705,0.048255320282965676,3.785842831433713,247.76,0.3,952.75,0.28,1846.31,0.26,883.72,0.51,1887.31,0.71,120.15,0.16,448.31,1.0,84.87,0.08,1045.36,0.5,249.61,0.32,11282.13,0.28,1549.46,0.06,1415.67,0.04,249.24,0.26,0.17291025422266804
1,3,7,4,1,1,2,8,1,1,2,2,1,0.2047171549659112,0.21515877403107916,0.18642,1.82826,0.04261173228583185,3.3743083003952568,299.51,0.27,374.99,0.31,299.51,0.3,1437.1,0.3,451.74,0.3,2389.55,0.22,1367.72,0.41,2447.56,0.35,135.77,0.16,497.42,0.35,802.44,0.07,377.21,0.14,377.21,0.14,127.61,0.1,0.19768717151869203
4,1,3,1,2,2,2,1,2,1,1,1,1,0.25890057185021215,0.26046854823833243,0.19078,0.99954,0.047699862489546975,3.8147333699835073,276.7,0.31,1046.41,0.28,1924.44,0.26,951.4,0.52,1984.55,0.71,105.9,0.16,483.1,1.0,95.26,0.09,329.1,0.41,313.13,0.28,338.86,0.08,319.47,0.29,0.1747483786721069,,,,
1,2,8,4,1,1,2,6,2,2,1,1,1,0.21878263005957865,0.21012222836435107,0.19603,2.00452,0.04353415267297781,3.0989488945270027,431.35,0.57,391.76,0.31,485.97,0.31,1435.97,0.29,528.57,0.29,2375.11,0.21,1353.03,0.4,2439.75,0.33,155.21,0.15,522.15,0.33,662.37,0.07,453.26,0.15,432.09,0.15,140.41,0.1,0.17687491769186509
1,1,1,4,2,2,3,5,1,2,1,1,1,0.2838587162932017,0.28127611090011395,0.18864,1.92761,0.042429938327510255,3.281854691493246,466.94,0.31,1528.32,0.29,2439.06,0.21,1436.41,0.41,2497.66,0.34,140.73,0.15,523.33,0.34,137.63,0.1,482.1,0.4,377.76,0.29,1778.69,0.07,1901.04,0.25,0.11711434402397956,,,,
2,2,5,3,3,1,2,7,1,2,2,2,1,0.2368959868959869,0.23587223587223588,0.17871,1.88385,0.040491196087010586,3.279680365296804,176.42,0.56,164.95,0.31,169.74,0.34,419.49,0.5,143.84,0.28,781.9,0.21,408.8,0.4,793.56,0.35,39.87,0.13,150.46,0.35,217.04,0.08,176.62,0.14,183.59,0.26,51.34,0.08,0.16720482457517982
3,2,3,2,3,1,4,2,2,2,2,1,1,0.21246545901136016,0.20571077678845565,0.18674,2.35247,0.03910556841447892,3.289795918367347,3631.78,0.61,50.33,0.29,412.96,0.29,193.9,0.24,4165.95,0.24,427.12,0.18,214.2,0.4,426.46,0.32,7.19,0.09,84.78,0.3,308.34,0.06,638.64,1.0,209.49,0.19,60.8,0.05,0.1023339550725813
4,1,4,1,1,1,1,7,1,1,2,2,1,0.2093709647666482,0.2093709647666482,0.19379,0.99617,0.04845110126354253,3.9472684085510688,1229.12,0.31,335.3,0.0,1229.12,0.28,1218.6,0.0,162287.5,0.28,1417.38,0.0,1106.6,0.0,2443.32,0.0,116.75,0.0,605.03,0.0,157.87,0.06,1263.98,0.13,1263.98,0.2,98.6,0.0,0.08016051784346914
4,1,9,3,1,1,5,4,1,2,2,2,1,0.2318760376314333,0.23196827153661687,0.19471,0.99118,0.048684689118494454,4.028877887788779,235.19,0.28,199.52,0.3,235.19,0.26,681.29,0.27,5428.88,0.27,1364.75,0.25,632.01,0.51,1418.35,0.71,81.49,0.16,361.39,1.0,1349.57,0.06,204.18,0.13,204.18,0.25,67.28,0.09,0.19353501436512727
4,4,5,1,4,1,3,6,2,1,1,2,1,0.24608005902969932,0.24294410625345877,0.18825,0.98142,0.047064513463156654,3.85697606538237,174.18,0.53,260.78,0.3,793.88,0.29,1011.24,0.28,426.4,0.28,1838.41,0.26,903.38,0.51,1895.8,0.71,108.39,0.15,449.65,1.0,494.67,0.07,1115.02,0.13,1129.09,0.22,91.59,0.09,0.07166420125566925
1,3,7,3,2,2,2,6,1,1,2,1,1,0.2558196670966157,0.25747804188931883,0.1875,1.94233,0.04207151265677075,3.1213403880070545,403.57,0.3,1472.63,0.29,2451.85,0.21,1389.88,0.41,2509.39,0.33,143.93,0.15,500.5,0.34,139.41,0.1,469.17,0.4,541.21,0.29,537.89,0.08,448.66,0.27,0.1829125936800392,,,,
4,3,4,2,4,1,2,4,1,2,1,2,1,0.2190555248109205,0.21767201623316731,0.20033,0.98605,0.05008637979610825,3.809255784865541,312.54,0.28,253.99,0.3,312.54,0.31,937.2,0.28,261.7,0.28,1038.39,0.2,848.05,0.51,1793.16,0.71,86.09,0.15,467.22,1.0,309.71,0.08,298.72,0.13,298.72,0.22,88.61,0.09,0.15151709064067986
2,3,2,2,4,1,1,5,1,1,1,2,1,0.21867321867321868,0.21867321867321868,0.18938,1.95039,0.04244471311400494,3.2111801242236027,992.07,0.3,183.7,0.0,992.07,0.32,376.27,0.0,79741.14,0.29,703.69,0.0,388.95,0.0,718.86,0.0,37.42,0.0,149.4,0.0,224.95,0.09,496.33,0.15,496.51,0.23,51.18,0.0,0.10454699564139937
3,3,8,1,2,1,1,2,2,2,2,2,1,0.2511513662879951,0.2511513662879951,0.19954,2.38486,0.04155512915556948,3.187250996015936,10396.11,0.4,45.11,0.0,10396.11,0.4,211.92,0.0,21485.41,0.24,439.28,0.0,225.72,0.0,445.41,0.0,12.96,0.0,94.74,0.0,301.82,0.07,218.62,0.06,218.62,0.17,59.47,0.0,0.17758053976237928
4,1,8,4,1,1,5,4,2,2,1,1,1,0.2318760376314333,0.23196827153661687,0.19471,0.99118,0.048684689118494454,4.028877887788779,235.19,0.28,199.52,0.3,235.19,0.26,681.29,0.27,5428.88,0.27,1364.75,0.25,632.01,0.51,1418.35,0.71,81.49,0.16,361.39,1.0,1349.57,0.06,204.18,0.13,204.18,0.25,67.28,0.09,0.19353501436512727
2,1,5,3,3,1,2,6,1,1,2,1,1,0.2502047502047502,0.25,0.18521,1.86825,0.042072235358489765,3.207683073229292,148.97,0.37,170.32,0.3,148.97,0.34,385.38,0.29,146.09,0.29,747.41,0.21,391.01,0.4,759.03,0.35,36.19,0.14,149.68,0.35,159.16,0.09,122.35,0.15,122.35,0.27,49.41,0.09,0.16065123774744375
2,1,1,2,3,1,1,2,2,2,1,1,1,0.24168570703224168,0.24168570703224168,0.18804,2.22518,0.040239581286867845,3.252361673414305,25462.49,0.27,122.21,0.0,25462.49,0.26,331.22,0.0,62355.36,0.25,629.11,0.0,316.18,0.0,644.83,0.0,22.25,0.0,131.48,0.0,108.13,0.08,21.11,0.04,21.11,0.16,43.25,0.0,0.08638190808089274
2,2,3,1,3,1,2,3,2,2,1,1,1,0.1988124488124488,0.20208845208845208,0.15737,1.70297,0.03670791574017377,3.806338028169014,164.47,0.33,0.0,1.0,2199.91,0.4,87.05,0.4,0.1,0.14,294.73,0.23,115.68,0.52,285.89,0.35,0.0,1.0,46.87,0.37,2120.77,1.0,1478.16,1.0,3056.51,0.27,0.0,1.0,0.11081049965461662
4,4,1,4,4,1,4,1,1,1,1,2,1,0.169565832272663,0.168434450572762,0.18547,0.99352,0.04637476778770674,3.8531228551818804,7536.09,0.44,197.83,0.31,7536.09,0.54,829.78,0.28,13650.22,0.28,1535.38,0.26,751.56,0.51,1589.77,0.71,87.18,0.16,370.59,1.0,1278.11,0.07,1101.58,0.05,1101.11,0.18,92.8,0.09,0.15454115914489616
2,1,2,4,5,2,1,7,2,2,1,2,1,0.25307125307125306,0.25307125307125306,0.17336,1.92689,0.039003014071004975,3.3240418118466897,158.72,0.0,426.68,0.0,760.91,0.0,412.76,0.0,774.28,0.0,32.45,0.0,140.58,0.0,49.62,0.0,21026.87,0.42,34044.99,0.29,43986.26,0.08,21516.12,0.25,0.11808907415533129,,,,
2,1,2,2,1,1,3,8,1,2,2,2,1,0.20372645372645373,0.20495495495495494,0.16374,1.95008,0.03670035656935223,3.6615776081424936,345.07,0.24,142.13,0.31,345.07,0.27,361.43,0.27,170.67,0.27,767.17,0.21,357.38,0.41,774.88,0.35,29.88,0.13,129.67,0.34,170.11,0.06,358.03,0.11,358.21,0.18,37.51,0.08,-0.06251072096761973
4,1,8,4,2,1,3,4,1,2,2,1,1,0.2726434237225604,0.27448810182623135,0.18556,0.97256,0.046387921183014554,3.9540581929555896,267.11,0.43,211.54,0.31,267.11,0.46,704.49,0.28,131.66,0.28,1443.54,0.26,701.4,0.51,1489.47,0.71,88.32,0.16,344.47,1.0,851.49,0.07,27.04,0.14,1023.73,0.25,83.57,0.1,0.07576840737059408
4,2,8,3,3,1,4,3,1,1,2,1,1,0.24893931009038922,0.24866260837483858,0.17527,0.91066,0.04373732429777697,4.423913043478261,7009.08,0.53,0.0,1.0,804.67,0.43,224.37,0.42,8878.97,0.14,723.77,0.26,268.28,0.49,739.59,0.67,0.0,1.0,151.42,1.0,676.55,1.0,676.55,1.0,676.55,0.14,0.0,1.0,0.06306937631394534
4,4,1,3,3,1,4,4,1,1,2,2,1,0.1807382265591854,0.17762692688445764,0.19062,1.00359,0.04766505201399113,3.8105263157894735,10293.21,0.56,143.39,0.3,10293.21,0.46,569.11,0.27,11588.37,0.27,1084.58,0.25,476.21,0.51,1121.77,0.71,58.09,0.16,276.17,1.0,543.93,0.07,672.35,0.05,672.35,0.18,67.83,0.09,0.15242505851056926
2,4,8,4,4,1,4,3,1,1,2,2,1,0.22522522522522523,0.22338247338247338,0.1548,1.69703,0.036141581997343665,3.8469750889679717,1378.62,0.41,0.0,1.0,179.05,0.37,81.76,0.4,2912.51,0.14,291.11,0.23,114.09,0.53,282.32,0.35,0.0,1.0,45.56,0.37,353.78,1.0,353.78,1.0,353.72,0.13,0.0,1.0,0.022170361726954493
2,2,3,3,2,2,2,3,2,1,1,1,1,0.2201064701064701,0.22072072072072071,0.153,1.71705,0.035612426827790596,3.9192982456140353,0.0,1.0,96.05,0.42,293.26,0.23,120.64,0.53,284.3,0.35,0.0,1.0,46.19,0.37,0.0,1.0,154.04,0.45,670.65,0.48,28.27,0.16,2186.61,1.0,1510.49,1.0,3163.92,0.14,0.11738148984198646
3,1,3,1,3,2,5,4,2,1,2,2,1,0.23856309487258212,0.23518575376112988,0.19809,1.93002,0.04455667143612597,3.205357142857143,57.02,0.3,248.67,0.28,424.11,0.21,264.82,0.4,430.31,0.35,15.71,0.15,90.61,0.34,49.71,0.09,8.56,0.33,2812.04,0.28,232.81,0.09,49.52,0.26,0.1486622813338463,,,,
4,4,5,2,3,2,5,8,1,2,1,2,1,0.22993912562257887,0.2285556170448257,0.18853,0.97386,0.04713025897265065,3.7882489819662593,264.67,0.3,998.03,0.28,1865.38,0.26,913.05,0.51,1912.0,0.71,122.3,0.16,441.45,1.0,83.24,0.08,2935.27,0.51,1.64,0.31,15506.24,0.28,951.63,0.07,178.1,0.25,0.17227626418933803,,
4,1,6,4,5,1,1,8,2,2,2,1,1,0.2624976941523704,0.2624976941523704,0.19478,0.96201,0.04868278169634974,3.80635838150289,52579.58,0.43,261.42,0.0,52579.58,0.44,1020.37,0.0,73804.65,0.28,1881.4,0.0,932.35,0.0,1936.36,0.0,101.25,0.0,477.29,0.0,103117.15,0.07,49221.57,0.14,46716.61,0.27,94.01,0.0,0.13491631075834545
3,1,9,3,5,2,1,1,1,2,1,2,1,0.26066932760208783,0.26066932760208783,0.18436,2.0,0.04098464661844943,3.198083067092652,78.0,0.0,336.01,0.0,567.79,0.0,327.08,0.0,574.58,0.0,22.99,0.0,108.37,0.0,63.06,0.0,13702.6,0.41,20027.37,0.29,26189.06,0.09,15399.81,0.14,0.15468036529680368,,,,
1,2,2,2,3,1,3,7,2,1,2,2,1,0.2281186659296112,0.22787298077513665,0.18686,1.97671,0.041688125208987646,3.2236315086782374,2300.6,0.53,439.56,0.3,505.6,0.31,1604.72,0.29,1084.73,0.29,2585.42,0.21,1498.82,0.41,2645.04,0.34,146.09,0.14,544.4,0.34,462.27,0.08,741.09,0.13,1913.81,0.25,136.93,0.1,0.10584350398767925
4,2,8,3,1,1,4,2,1,2,1,1,1,0.24275963844309167,0.24285187234827524,0.19599,1.04316,0.04898332274793322,3.975852272727273,2161.21,0.58,180.61,0.29,659.8,0.22,767.21,0.25,7197.44,0.25,1580.04,0.24,708.01,0.51,1644.69,0.71,76.45,0.12,417.58,1.0,1628.22,0.06,1264.16,0.04,1415.87,0.17,68.82,0.06,0.16972348449920605
1,3,3,4,1,2,4,7,2,1,2,2,1,0.1932313739942264,0.1932313739942264,0.18485,1.91557,0.04165821107527461,3.2632840591290453,366.41,0.31,1424.41,0.3,2172.19,0.22,1335.99,0.41,2215.82,0.34,138.79,0.17,456.59,0.34,129.71,0.1,517.91,0.33,8153.87,0.3,2960.28,0.07,543.66,0.26,0.193895775023324,,,,
4,4,6,2,1,1,2,7,2,1,1,2,1,0.2276332779929902,0.22505072864785094,0.19205,0.99671,0.048018783812846674,3.7507525586995785,217.24,0.5,240.51,0.31,224.46,0.3,984.28,0.29,252.05,0.29,1759.76,0.26,886.12,0.51,1799.18,0.71,120.85,0.17,436.68,1.0,361.98,0.06,247.12,0.14,233.33,0.14,82.96,0.09,0.1686742560895766
3,4,7,3,5,1,5,3,1,1,1,1,1,0.23457169174086584,0.23887012588271414,0.16544,1.77143,0.038198713704719625,3.8232044198895028,199.52,0.51,0.0,1.0,174.59,0.48,73.72,0.4,553.55,0.16,194.63,0.22,94.02,0.51,189.93,0.34,0.0,1.0,32.53,0.36,228.08,1.0,228.08,1.0,186.43,0.37,0.0,1.0,0.09001536098310292
4,4,2,4,1,1,4,3,2,2,1,1,1,0.1877882309536986,0.18575908503966057,0.17698,0.91911,0.0441800669872782,4.48816029143898,839.8,0.48,0.0,1.0,644.92,0.47,233.25,0.43,4066.2,0.15,730.24,0.26,275.11,0.5,745.96,0.68,0.0,1.0,156.86,1.0,671.1,1.0,671.1,1.0,671.1,0.15,0.0,1.0,0.1076953975043147
4,3,5,2,3,2,3,2,2,2,1,1,1,0.22966242390702823,0.2320605054418004,0.209,1.10201,0.05213341149617237,3.8151202749140896,198.41,0.27,744.02,0.23,1606.29,0.23,719.75,0.51,1660.3,0.71,70.94,0.1,462.57,1.0,77.41,0.05,45.74,0.27,357.18,0.23,85.18,0.05,590.97,0.2,0.1015522733868813,,,,
4,3,2,1,3,1,5,5,2,1,1,1,1,0.25604132078952224,0.2565947242206235,0.19294,1.01408,0.04823975786086298,3.5947334617854847,4.09,0.31,253.76,0.3,4.09,0.35,838.48,0.28,12560.91,0.28,1574.06,0.25,859.74,0.5,1622.67,0.71,112.63,0.16,389.86,1.0,802.87,0.08,139.55,0.15,139.55,0.27,86.0,0.09,0.157909332152808
3,1,5,2,1,1,3,8,1,1,1,2,1,0.2001842186060792,0.20141234264660732,0.17951,1.95415,0.04021177693224092,3.3663003663003663,211.26,0.31,61.61,0.31,211.26,0.28,255.21,0.29,217.09,0.29,549.41,0.21,256.68,0.41,547.8,0.36,23.73,0.15,96.4,0.34,125.17,0.07,220.67,0.09,220.79,0.17,51.56,0.08,-0.0239973786753353
2,4,3,1,3,2,5,7,2,2,1,1,1,0.20741195741195742,0.21027846027846028,0.17884,1.83346,0.04085262010153614,3.2833723653395785,153.39,0.3,408.58,0.27,758.51,0.21,403.2,0.4,774.56,0.35,40.36,0.13,148.3,0.35,43.7,0.08,764.38,0.64,16.36,0.33,5920.78,0.27,467.93,0.08,667.57,0.04,174.67,0.23,0.1482873371496863
1,2,4,1,2,2,2,8,1,2,2,1,1,0.22891714268165347,0.2268902401572385,0.19331,1.89395,0.0437194470401147,3.228021978021978,508.36,0.31,2018.53,0.3,2074.31,0.17,1882.8,0.41,3258.27,0.34,181.39,0.15,719.18,0.35,158.16,0.09,700.29,0.55,686.05,0.39,700.6,0.3,723.72,0.08,703.7,0.04,638.02,0.27,0.19254541427334324
1,3,5,2,3,2,2,1,1,2,2,2,1,0.254591241324243,0.24636078864934585,0.18716,2.00571,0.04155447945074113,3.2154979186679475,445.99,0.31,1670.2,0.29,2674.38,0.21,1566.51,0.41,2741.45,0.34,134.31,0.14,564.77,0.33,143.24,0.1,615.8,0.33,618.92,0.29,608.9,0.08,618.08,0.27,0.16704194312118778,,,,
4,1,3,1,1,2,5,2,2,2,1,2,1,0.1902785463936543,0.1888950378159011,0.20826,1.09823,0.05195774886948126,3.8184319119669876,194.02,0.27,738.15,0.22,1613.01,0.23,727.87,0.51,1672.13,0.71,73.91,0.1,459.61,1.0,61.25,0.05,776.19,0.24,6232.17,0.22,1759.15,0.06,808.57,0.13,0.20671329968940994,,,,
4,3,7,2,4,1,5,1,1,2,1,1,1,0.23086146467441432,0.23086146467441432,0.19078,0.99954,0.047699862489546975,3.8147333699835073,282.66,0.29,276.7,0.31,282.66,0.28,1046.41,0.28,12285.02,0.28,1924.44,0.26,951.4,0.52,1984.55,0.71,105.9,0.16,483.1,1.0,1712.34,0.08,291.24,0.14,291.18,0.21,95.26,0.09,0.1461944425322962
4,1,5,2,1,2,1,1,2,2,1,2,1,0.1902785463936543,0.1902785463936543,0.19078,0.99954,0.047699862489546975,3.8147333699835073,276.7,0.0,1046.41,0.0,1924.44,0.0,951.4,0.0,1984.55,0.0,105.9,0.0,483.1,0.0,95.26,0.0,1041.59,0.29,133235.87,0.28,165.64,0.08,1103.34,0.19,0.08271004253313056,,,,
3,4,2,4,4,2,2,8,2,1,2,2,1,0.2066318698188517,0.2026404666871354,0.1846,1.94707,0.04140060645255762,3.198360655737705,71.15,0.32,317.79,0.29,571.48,0.21,313.5,0.41,574.8,0.36,23.82,0.15,106.81,0.34,52.89,0.09,142.68,0.51,135.66,0.29,125.15,0.29,133.36,0.09,155.83,0.14,141.29,0.25,0.16934698452339172
2,3,4,3,5,2,2,8,1,2,2,1,1,0.2493857493857494,0.24610974610974612,0.18765,1.90062,0.04240003420924769,3.283500455788514,202.32,0.31,538.31,0.28,635.53,0.17,537.88,0.41,990.66,0.35,49.26,0.14,207.83,0.34,64.89,0.09,221.82,0.43,207.48,0.28,279.07,0.08,222.03,0.25,0.1667033548650957,,,,
2,2,8,2,2,1,1,4,1,1,2,1,1,0.2457002457002457,0.2457002457002457,0.20024,2.05117,0.04413435645352019,3.2006125574272586,97090.45,0.56,110.54,0.0,14339.88,0.43,332.22,0.0,28753.5,0.29,583.72,0.0,333.96,0.0,588.53,0.0,31.37,0.0,132.49,0.0,390.52,0.08,100.11,0.12,60.1,0.3,41.61,0.0,0.13908078149015898
3,4,7,2,1,2,5,5,1,1,1,1,1,0.21829904820386858,0.2210623272950568,0.18413,1.88917,0.04169088971362372,3.2324723247232474,68.66,0.31,291.65,0.3,524.72,0.22,279.04,0.53,528.98,0.35,19.58,0.15,96.53,0.35,52.06,0.08,112.25,0.57,160.98,0.29,1462.98,0.3,582.02,0.08,171.64,0.14,131.46,0.19,0.16177497900923593
4,1,3,4,5,1,2,5,2,2,2,2,1,0.2624976941523704,0.26240546024718686,0.19002,0.98351,0.04750801307126728,3.763558805606338,277.5,0.39,267.24,0.3,277.5,0.41,926.66,0.28,269.37,0.28,1755.31,0.25,843.7,0.51,1792.1,0.71,102.98,0.16,424.27,1.0,293.28,0.08,274.6,0.14,265.77,0.25,88.5,0.09,0.17717964066995406
1,1,6,1,2,1,5,1,1,1,1,2,1,0.268902401572385,0.2719120447146981,0.18716,2.00571,0.04155447945074113,3.2154979186679475,3146.69,0.38,445.99,0.31,3146.69,0.44,1670.2,0.29,5617.76,0.29,2674.38,0.21,1566.51,0.41,2741.45,0.34,134.31,0.14,564.77,0.33,1238.67,0.08,384.23,0.14,384.21,0.27,143.24,0.1,0.17317903857498904
2,4,3,3,4,2,4,2,2,2,2,2,1,0.1726044226044226,0.17280917280917282,0.1918,2.28571,0.040621118012422346,3.340220385674931,117.73,0.27,288.17,0.24,637.55,0.18,287.67,0.4,648.41,0.31,21.28,0.09,137.33,0.3,30.95,0.05,2774.9,0.44,134.47,0.25,5321.87,0.24,679.53,0.07,913.81,0.0,431.36,0.18,0.13119134515119918
3,4,6,4,1,1,1,1,1,1,1,1,1,0.20417562173779552,0.20417562173779552,0.18436,2.0,0.04098464661844943,3.198083067092652,14463.35,0.56,78.0,0.0,303.74,0.28,336.01,0.0,35131.07,0.29,567.79,0.0,327.08,0.0,574.58,0.0,22.99,0.0,108.37,0.0,151.93,0.09,403.61,0.14,340.58,0.25,63.06,0.0,0.08276255707762559
3,4,8,2,2,2,1,5,1,1,2,1,1,0.26435369972367206,0.26435369972367206,0.17925,1.92135,0.040374440374440435,3.369747899159664,68.32,0.0,253.11,0.0,465.42,0.0,264.21,0.0,474.27,0.0,24.84,0.0,84.25,0.0,55.43,0.0,74733.05,0.48,17413.97,0.32,265.63,0.08,16.71,0.25,0.1300348248899402,,,,
1,3,2,3,1,1,5,2,2,2,2,1,1,0.2047171549659112,0.2047171549659112,0.20737,2.35585,0.04338307781355882,3.119671490027376,2167.94,0.19,312.2,0.29,2167.94,0.18,1254.73,0.26,6779.65,0.26,2145.66,0.19,1219.35,0.4,2200.34,0.3,101.98,0.11,514.37,0.3,3130.69,0.07,2186.69,0.06,2186.69,0.19,103.77,0.07,0.1926088957844785
3,4,7,1,5,1,3,4,2,2,1,2,1,0.22750997850782928,0.22720294749769726,0.18822,1.9811,0.041979760021881085,3.093812375249501,273.93,0.56,63.7,0.32,179.78,0.42,259.97,0.28,152.3,0.28,486.77,0.2,253.18,0.4,495.52,0.36,17.14,0.15,86.73,0.34,201.4,0.09,318.96,0.14,137.16,0.25,57.04,0.1,0.18956559572761864
4,2,3,4,1,1,3,4,2,1,2,1,1,0.1728463383139642,0.1728463383139642,0.1875,0.97716,0.04687703872571817,3.7918819188191883,189.01,0.45,210.1,0.31,695.24,0.29,744.75,0.28,221.32,0.28,1472.24,0.26,696.41,0.51,1532.5,0.71,80.7,0.15,344.41,1.0,303.8,0.07,264.38,0.04,840.83,0.25,86.94,0.09,-0.017050572214489634
3,3,3,1,4,2,4,1,2,2,1,1,1,0.21093030396070003,0.20878108688977587,0.18436,2.0,0.04098464661844943,3.198083067092652,78.0,0.32,336.01,0.29,567.79,0.21,327.08,0.41,574.58,0.35,22.99,0.15,108.37,0.33,63.06,0.1,76.04,0.32,4015.7,0.29,607.05,0.09,137.27,0.21,0.13356164383561644,,,,
